tidsmerke;study_id;study_title;is_the_study_conducted_in_norway_and_or_is_it_a_systematic_review_with_global_european_or_fennoscandian_coverage;does_the_study_assess_land_use_or_land_use_change_effects_on_the_biodiversity_ecosystem_services_functions_or_carbon_sequestration_and_storage_in_terrestrial_aquatic_or_coastal_areas_are_include_i_e_studies_focusing_on_marine_systems_are_excluded;does_the_study_assess_conflicts_tools_or_governance_relating_to_land_use_and_cover_change_its_effects_on_biodiversity_ecosystem_services_and_or_carbon_sequestration_and_storage_by_ecosystems_in_fenno_scandinavia_the_relation_should_be_explicit_in_study_for_the_record_to_be_included;study_duration_start_year;study_duration_end_year;any_indicators_of_study_duration_if_the_start_year_and_end_year_are_not_obvious;open_data;open_code;preregistration_or_published_protocol;country;county_name_of_norwegian_county;norwegian_kommune;spatial_scale;ecosystem_type_main;research_type;type_of_summarised_evidence;study_design_observational_studies;data_gathering_methods;study_area_discipline;x23;core_impact_mechanism;is_the_eligible_outcome_measured_or_assumed_for_example_if_the_amount_of_deadwood_is_measured_as_an_index_of_biodiversity_this_is_an_example_of_an_assumed_measure_of_biodiversity_if_the_measure_is_assumed_then_provide_the_measured_outcome_under_the_other_if_measured_proceed_with_ticking_the_correct_ebv_boxes;genetic_composition;species_populations;species_traits;community_composition;ecosystem_functioning;ecosystem_structure;ecosystem_services;taxonomic_level;taxonomic_name;governce_tools;governance_level_using_the_tool;tool_characteristics;risk_of_bias_is_the_risk_of_bias_in_individual_studies_limitations_in_study_design_or_conduct_that_could_influence_the_reported_effect_size_and_direction_enough_to_influence_the_summarised_evidence;risk_of_bias_does_the_summarised_evidence_undertake_any_assessment_of_the_risk_of_bias;imprecision_how_varied_is_the_summarised_effect_and_has_this_variation_be_adequately_assessed;imprecision_is_the_sample_size_sufficient_to_make_an_unbiased_estimate_of_effect;inconsistency_do_studies_included_in_summarised_evidence_have_a_consistent_direction_and_size_of_effect_do_studies_95_percent_ci_overlap;indirectness_does_the_summarised_evidence_directly_assess_the_hypothesis_or_question_at_hand_or_does_it_make_use_of_proxy_outcomes;publication_bias_does_the_summarised_evidence_assess_publication_bias_through_some_formal_method;evidence_certainty;number_of_studies_assessed;high_quality_systematic_review;notes.x;empirical_focus_of_study;analytical_approach_of_study;sector_societal_concern;actors;accession_zr;source_type;language;author;address;title;source;volume;issue;start_page;abstract;keywords;doi;issn;conference_date;notes.y;year;Y3;source_abbreviated;url;publisher;rayyan_decisions;rayyan_labels;rayyan_exclusionreasons;finaldecision
2024-04-25T11:16:35Z;rayyan-674258033;A case of conflicts in conservation: Two trenches or a three-dimensional complexity?;Yes;No;Yes;2001;2005;;No;No;No;Norway;Innlandet;Dovre;Local (e.g. a municipality or a part of a municipality);Mountains;Observational studies;NA;After (A);Document Study, Interviews;Social Sciences;Protection;Indirect – changed human use (recreational etc).;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;We should add a section about conflicts. This paper should then be coded according to that;NA;NA;NA;NA;rayyan-674258033;JOUR;English;Daugstad, K and Svarstad, H and Vistad, OI;"[""Univ Ctr, Ctr Rural Res, N-7491 Trondheim, Norway"", ""Norwegian Inst Nat Res, Lillehammer, Norway""]";A case of conflicts in conservation: Two trenches or a three-dimensional complexity?;LANDSCAPE RESEARCH;31;1;1-19;"Conflicts over conservation are often regarded as dichotomies of diametrical opposites. When national parks are established in Norway, two stereotypes can be sketched: (1) the ecocentric position valuing 'pure, authentic nature', relying on the national government as the only acceptable decision and management level; and (2) a more anthropocentric position valuing cultural landscape elements and certain traditional and future uses of the area, favouring local management. A conflict over restoring a. ring range to a state of `authentic nature' for future designation as a national park is examined. The case has raised comprehensive local debate. It is asked whether the relevant actors should be seen as situated in the stereotypes, or whether a more complex three-dimensional picture would provide a better interpretation.";conservation and nature restoration and protected areas and landscape and Norway and ATTITUDES;10.1080/01426390500448450     WE  - Social Science Citation Index (SSCI);"[""0142-6397"", ""1469-9710     J9  - LANDSCAPE RES     JI  - Landsc. Res.""]";1;"Times Cited in Web of Science Core Collection:  38     Total Times Cited:  38     Cited Reference Count:  47 | RAYYAN-INCLUSION: {""Matthew""=>""Included""} | RAYYAN-LABELS: Social Science";2006;NA;NA;NA;NA;" {""Matthew""=>""Included""} "; Social Science;NA;NA
2024-04-25T14:39:38Z;rayyan-674265626;CONFLICT AND COMPLEXITY - THE CASE OF HYDROPOWER CONSTRUCTION IN NORWAY;Yes;No;Yes;NA;NA;;NA;NA;NA;Norway;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;Redo after conflicts has been added to the form;NA;NA;NA;NA;rayyan-674265626;JOUR;English;BURNS, TR and MIDTTUN, A;NORWEGIAN SCH MANAGEMENT,N-1341 BEKKESTUA,NORWAY;CONFLICT AND COMPLEXITY - THE CASE OF HYDROPOWER CONSTRUCTION IN NORWAY;HUMAN SYSTEMS MANAGEMENT;6;1;21-33     WE  - Social Science Citation Index (SSCI);NA;NA;10.3233/hsm-1986-6105;NA;NA;Times Cited in Web of Science Core Collection:  1     Total Times Cited:  1     Cited Reference Count:  6;1986;NA;NA;NA;NA;NA;NA;NA;NA
2024-04-29T12:13:15Z;rayyan-674260622;Semi-natural hay meadows and traditional ecological knowledge (TEK) in Norway- what can we learn from written sources?;Yes;No;Yes;1850;2020;;No;No;No;Norway;Møre og Romsdal, Nordland, Trøndelag;NA;Regional (e.g., a County, a larger mountain area, a coastal region);Naturally open area under the tree-line, Semi-natural ecosystems;Conceptual work / scenarios;NA;NA;NA;Social Sciences;Agriculture & aquaculture: outfield resources (including grazing);Indirect – changed human use (recreational etc).;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Participatory;Local;Qualitative;NA;NA;NA;NA;NA;NA;NA;NA;;NA;Discuss how TEK can be used to manage semi-natural hay fields. No bidiversity response variable.;NA;NA;NA;NA;rayyan-674260622;JOUR;English;Bele, B and Svalheim, E and Grenne, SN and Norderhaug, A;"[""Norwegian Inst Bioecon Res NIBIO, PB 115, N-1431 As, Norway"", ""Strengdalsveien 40, N-3140 Notteroy, Norway"", ""Pb 115, NO-1431 As, Norway""]";Semi-natural hay meadows and traditional ecological knowledge (TEK) in Norway- what can we learn from written sources?;JOURNAL FOR NATURE CONSERVATION;77;NA;NA;Semi-natural hay meadows are among the most species-rich habitats in Norway as well as in Europe. To maintain the biodiversity of hay meadows, it is important to understand local management regimes and the land use history that has shaped them and their biodiversity. There is however a general erosion of Traditional Ecological Knowledge (TEK), related to hay meadows and other semi-natural habitats. This review aims to examine historical and written sources of land use practices related to hay meadows and to discuss the implications of a reintroduction of TEK in present and future management practices. Traditional land use practices and TEK obtained from written sources from four Norwegian regions and for the country as a whole are compared with present management practices. Written sources show that hay meadows have been managed in a complex but flexible way. Today's management regimes of hay meadows in Norway are streamlined and strongly simplified, most often involving only one late mowing and in some cases grazing. This simplification may result in loss of biodiversity. The potential to include more variety of management practices in hay meadows, by utilizing knowledge from written sources more systematically in combination with farmers' experienced knowledge (TEK) should be better utilized. Such an approach may secure both the biodiversity in hay meadows and TEK for the future. Former and present landscape ecological contexts in the infield-outlying land system show that management should be done for larger landscapes rather than small, isolated hay meadows, to optimize biodiversity conservation. For this study, we conducted a Norwegian literature review, based on ethnographical and ethnobotanical sources, as well as historical and present agricultural statistics, historical maps, results from research projects, and other sources. Our findings are discussed with similar European studies focusing on the historical management of hay meadows.;Traditional Ecological Knowledge (TEK) and Management practices and Biodiversity and Land use and Semi-natural grassland and History and PLANT-SPECIES RICHNESS and LAND-USE and CENTRAL-EUROPE and GRASSLAND and MANAGEMENT and LANDSCAPE and HISTORY and DIVERSITY and SWEDISH and HETEROGENEITY and Norway and Learning;10.1016/j.jnc.2023.126510;"[""1617-1381"", ""1618-1093     J9  - J NAT CONSERV     JI  - J. Nat. Conserv.""]";1;Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  96;2024;NA;NA;NA;NA;NA;NA;NA;NA
2024-05-02T10:14:21Z;rayyan-674230312;Reindeer Herding in Norway: Cyclicality and Permanent Change vs. Governmental Rigidities;Yes;No;Yes;NA;NA;;No;No;No;Norway;NA;NA;National;Mountains, Polar ecosystems / arctic tundra;Opinions;NA;NA;NA;Social Sciences;Human intrusions & disturbance, Natural system modifications;Direct habitat removal, destruction or change, Indirect – changed human use (recreational etc).;NA;NA;NA;NA;NA;NA;NA;Provisioning, Cultural;Species;Rangifer tarandus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;Discuss meat production from Sami reindeer husbandry, and different economic models;Governance;Economy-oriented;Agriculture and food (bioeconomy);Governing bodies;rayyan-674230312;CHAP;English;Reinert, E.S. and Oskal, A.;"[""Institute for Innovation and Public Purpose, University College London, London, United Kingdom"", ""Centre for the Study of the Sciences and the Humanities, University of Bergen, Bergen, Norway"", ""UArctic EALÁT Institute at the International Centre for Reindeer Husbandry, Guovdageaidnu/Kautokeino, Norway""]";Reindeer Herding in Norway: Cyclicality and Permanent Change vs. Governmental Rigidities;Springer Polar Sciences;NA;NA;117-138;Reindeer herding is a complex, highly mobile, and environmentally adaptive form of livestock management, and a traditional way of life, practiced by indigenous peoples across the circumpolar Arctic. Given its distinctive characteristics, appropriate economic governance and regulation of the practice demands a clear understanding of its social, cultural, and environmental characteristics. In the following, we outline some of these and discuss their implications for economic management of the practice, with reference to the case of Norway in the late twentieth and early twenty-first centuries. In closing, we identify some key current threats and challenges that confront reindeer herding and present some suggestions for enhancing its economic viability and resilience, based on a strategy of revitalizing core economic and social mechanisms. © The Author(s) 2024.;Governance and Pastoralism and Reindeer economics and Norway;10.1007/978-3-031-42289-8_5;25100475 (ISSN);NA;"Export Date: 29 January 2024; Cited By: 1";2024;NA;Springer Polar Sci.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178874803&doi=10.1007%2f978-3-031-42289-8_5&partnerID=40&md5=fece1ad0c8b189e492bb7eb87f0e32d2;Springer Nature;NA;NA;NA;NA
2024-05-07T15:53:17Z;rayyan-656138446;Who's Afraid of the Big, Bad Wolf? Young People's Responses to the Conflicts over Large Carnivores in Eastern Norway.;Yes;No;Yes;NA;NA;;No;No;No;Norway;Innlandet;Trysil;Local (e.g. a municipality or a part of a municipality);NA;Observational studies;NA;After (A);Interviews;Social Sciences;Biological resource use: hunting, fishing collection, Biological resource use: forestry, Protection;Indirect – changed human use (recreational etc).;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;Conflict;Approach focused on power relations, actor groups, Approach focused on perceptions/understanding;Local government and regional development, Agriculture and food (bioeconomy);Citizens;rayyan-656138446;JOUR;NA;Skogen, Ketil;NA;Who's Afraid of the Big, Bad Wolf? Young People's Responses to the Conflicts over Large Carnivores in Eastern Norway;Rural Sociology;66;2;203-226;"Controversies over large carnivores are often interpreted as clashes between rural traditionalism and urban modernity. Rural com- munities, however, have never been culturally monolithic, and modern- ization will increase the diversity. To probe such diverse and changing at- titudes towards nature, I conducted a qualitative study of young people in a rural community in eastern Norway. Contrary to popular images of such communities as unified against ""pests,"" all typical views of the car- nivore issue were present. Those in favor of the large carnivores were typically middle-class youths with a strong ""outward"" orientation, while those who wanted to shoot the predators were mostly working-class boys with strong ties to the local hunting culture. This pattern was interpreted as a conflict between dominant and subordinate forms of knowledge, and between abstraction-oriented and production-oriented cultural forms. Aside from the growth of the pro-carnivore middle-class seg- ments, the most significant effect of modernization appeared to be the removal of many young people from the subject matter of the conflict. A ""subculturalization"" of the working-class hunting culture also could be discerned, however. After decades of protection, the four species of large carnivores found in mainland Norway (brown bear, lynx, wolverine, and wolf) are now slowly recovering from the brink of extinction. This development is applauded by environmentalists, managers, biolo- gists, and many politicians. Opinion polls also indicate enthusiasm in a majority of the general population. Increasing carnivore populations have spurred fierce conflicts, however. Livestock depredation and competition for huntable game are key issues, but the killing of hunting dogs and the possibility of attacks on people also feature in the controversies. In the public debate it is often suggested that this is a conflict representing a clash between old and new perspectives on nature, or rural traditionalism and urban modernity. Whereas this seems to touch some core issues, we know little about the operative mechanisms. In particular, we know little of how young people are handling such issues. According to other popular images, sup- ported by current sociological theory on individualization in late";Norway;10.1111/j.1549-0831.2001.tb00064.x;NA;NA;NA;2001;NA;NA;NA;NA;NA;NA;NA;NA
2024-05-10T09:12:56Z;rayyan-674260993;Co-management of protected areas to alleviate conservation conflicts: experiences in Norway;Yes;No;Yes;NA;NA;;NA;NA;NA;Norway;Nordland, Finnmark;NA;Local (e.g. a municipality or a part of a municipality);Coastal, Forest, Mountains, Polar ecosystems / arctic tundra;Observational studies;NA;Before change;Surveys and questionnaires;Social Sciences;NA;NA;Assumed;NA;NA;NA;NA;NA;NA;NA;NA;NA;Regulatory;Local;(Semi-)Quantitative;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;Governance;Governance/management-oriented;Local government and regional development;Governing bodies, Indigenous Saami;rayyan-674260993;JOUR;English;Fedreheim, GE and Blanco, E;"[""Arctic Univ Norway, Fac Social Educ, Campus Harstad, Harstad, Norway"", ""Univ Innsbruck, Dept Publ Finance, Innsbruck, Austria"", ""Indiana Univ, Ostrom Workshop Polit Theory & Policy Anal, Bloomington, IN 47405 USA""]";Co-management of protected areas to alleviate conservation conflicts: experiences in Norway;INTERNATIONAL JOURNAL OF THE COMMONS;11;2;754-773;This paper addresses the perceptions of actors of protected areas in Norway about a co-management regime at the local level. The analysis is based on quantitative data from surveys of actors of eight protected areas in northern Norway. The surveys were undertaken just before a change to co-management in 2010. The results show that the two strongest determinants that explain actors' initial support of the governance change as a means to alleviate conflict are (i) the relationship of actors to the protected areas in terms of knowledge of the protected areas and mental models on conservation and (ii) the economic relevance of the areas for them. Traditionally, other sociocultural variables such as indigenous background (Sami), age, and gender have been considered relevant and were also identified as significant attributes that define preferences for conservation management alternatives. We build on the quantitative findings on actors' perceptions to develop a broader discussion on the relationship of the new management model for protected areas implemented and conflict resolution on land conservation in the country.;Co-management and governance and land planning and nature conservation and social-ecological systems and SOCIAL-ECOLOGICAL-SYSTEMS and MANAGEMENT and FRAMEWORK and Norway;10.18352/ijc.749     WE  - Social Science Citation Index (SSCI);1875-0281     J9  - INT J COMMONS     JI  - Int. J. Commons;NA;"Times Cited in Web of Science Core Collection:  20     Total Times Cited:  20     Cited Reference Count:  49 | RAYYAN-INCLUSION: {""Matthew""=>""Included""} | RAYYAN-LABELS: Social Science";2017;NA;NA;NA;NA;" {""Matthew""=>""Included""} "; Social Science;NA;NA
2024-05-10T10:09:15Z;rayyan-674261486;Traditional land use of the boreal forest landscape: Examples from Lierne, Nord-TrOndelag, Norway;Yes;No;Yes;NA;NA;;NA;NA;NA;Norway;Trøndelag;Lierne;Local (e.g. a municipality or a part of a municipality);Forest;Observational studies;NA;NA;Document Study, Interviews;Social Sciences;Agriculture & aquaculture: outfield resources (including grazing);Indirect – changed human use (recreational etc).;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Regulatory;National;Area-based;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;Tools;Governance/management-oriented;Climate and environment, Agriculture and food (bioeconomy);Land-owners and land-owner organizations;rayyan-674261486;JOUR;English;Bele, B and Norderhaug, A;Bioforsk Norwegian Inst Agr & Environm Res, Grassland & Landscape Div, NO-7500 Stjordal, Norway;Traditional land use of the boreal forest landscape: Examples from Lierne, Nord-TrOndelag, Norway;NORSK GEOGRAFISK TIDSSKRIFT-NORWEGIAN JOURNAL OF GEOGRAPHY;67;1;12-23;Nature conservation in Norway is based on the idea that wilderness and forest nature reserves should be left to develop naturally. Several studies show that forests have been influenced by human activities to a large extent. The article documents former land use practices in a boreal forest landscape in Nordli, Central Norway, and discussed the ecological consequences with respect to conservation. Traditionally, outfield resources were utilized for haymaking, pollarding, coppicing, grazing, and summer farming. Fodder harvesting methods were closely related to ecological conditions and the production level in the boreal forest landscape. Systematic burning to improve the forest pastures was a natural part of the traditional farming system. The forests were still utilized for grazing as late as 1973. In the man-influenced' landscape in Nordli, two boreal forest areas are protected due both to their wilderness character and the presence of native forest species. However, these nature reserves are parts of an extensively utilized forest landscape, where also human footprints are found. It is concluded that to ensure successful conservation of the biodiversity of these and other such forests, former land use practices should be documented, and management schemes should be developed on the basis of the acquired knowledge.;biological diversity and boreal forest and conservation and land use history and management and HISTORY and TRANSFORMATION and DIVERSITY and CLIMATE and REGION and Norway and Trees;10.1080/00291951.2012.760002     WE  - Social Science Citation Index (SSCI);"[""0029-1951"", ""1502-5292     J9  - NORSK GEOGR TIDSSKR     JI  - Norsk. Geogr. Tidsskr.-Nor. J. Geogr.""]";2;Times Cited in Web of Science Core Collection:  9     Total Times Cited:  9     Cited Reference Count:  87;2013;1;NA;NA;NA;NA;NA;NA;NA
2024-05-10T10:45:03Z;rayyan-674263387;Trade-Offs Between Forest Protection and Wood Supply in Europe;Yes;No;Yes;NA;NA;;NA;NA;NA;Norway, Europe;NA;NA;Multinational;Forest;Quasi-observational studies;NA;NA;NA;Agricultural and Fisheries;Biological resource use: forestry, Protection;Indirect – changed human use (recreational etc).;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Regulatory;Supranational;Area-based;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;Tools;Governance/management-oriented;Climate and environment, Agriculture and food (bioeconomy);Governing bodies;rayyan-674263387;JOUR;English;Verkerk, PJ and Zanchi, G and Lindner, M;"[""European Forest Inst, Sustainabil & Climate Change Programme, Joensuu 80100, Finland"", ""Lund Univ, Dept Phys Geog & Ecosyst Sci, S-22362 Lund, Sweden""]";Trade-Offs Between Forest Protection and Wood Supply in Europe;ENVIRONMENTAL MANAGEMENT;53;6;1085-1094;Forest protection is one of the main measures to prevent loss of biological and landscape diversity. This study aimed to assess to what extent forests are currently protected and how felling restrictions affect the potential annual wood supply within 27 European Union member states, Norway, and Switzerland and to discuss trade-offs between intensified use of forest biomass and forest protection efforts. Protected forests covered 33 million ha (20 % of total forest area) in 2005, of which 16 million ha was protected for biodiversity and the remaining area for landscape diversity. Within the protected areas, on average 48 % of the volume cannot be harvested in forests protected for biodiversity and 40 % in forests protected for landscapes. Consequently, 73 million m(3) (10 % of the annual theoretical potential supply from the total forest area) of wood cannot be felled from the protected forests in Europe. Protected forests do not necessarily affect wood supply given the current demand for wood in Europe. However, if demand for wood from European forests for material and energy use significantly increases, the impact of existing protected forest networks may become significant after all. On the other hand, wood harvesting is allowed to a fair extent in many protected areas. Hence, the question could be raised whether biodiversity and landscape diversity within designated areas are sufficiently protected. Careful planning is required to accommodate both the protection of biological and landscape diversity and demand for wood, while not forgetting all other services that forests provide.;Biodiversity and Bio-energy and Forest protection and Trade-offs and Wood supply and BIODIVERSITY CONSERVATION and ECONOMIC-IMPACTS and BIOMASS and TIMBER and MANAGEMENT and INDICATORS and ENERGY and SECTOR and POLICY and AREAS and Europe;10.1007/s00267-014-0265-3     WE  - Science Citation Index Expanded (SCI-EXPANDED);"[""0364-152X"", ""1432-1009     J9  - ENVIRON MANAGE     JI  - Environ. Manage.""]";6;Times Cited in Web of Science Core Collection:  26     Total Times Cited:  29     Cited Reference Count:  53;2014;NA;NA;NA;NA;NA;NA;NA;NA
2024-05-10T11:29:54Z;rayyan-655094369;Towards a Solution to the Goose-Agriculture Conflict in North Norway, 1988-2012: The Interplay between Policy, Stakeholder Influence and Goose Population Dynamics;Yes;No;Yes;2001;2012;;NA;NA;NA;Norway;Nordland;Vesterålen - Andøy, Bø, Hadsel, Sortland  og Øksnes;Regional (e.g., a County, a larger mountain area, a coastal region);Agricultural;Observational studies;NA;NA;Document Study, Interviews;Social Sciences;Agriculture & aquaculture: Agricultural production, Protection;Indirect – changed human use (recreational etc).;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Economic;National;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;Conflict;Governance/management-oriented, Participatory/deliberative/democratic approach;Climate and environment, Agriculture and food (bioeconomy);Land-owners and land-owner organizations;rayyan-655094369;JOUR;English;Tombre, IM and Eythórsson, E and Madsen, J;"[""Norwegian Inst Nat Res, Arctic Ecol Dept, Fram Ctr, Tromso, Norway"", ""Norwegian Inst Cultural Heritage Res, Fram Ctr, Tromso, Norway"", ""Aarhus Univ, Dept Biosci, Arctic Res Ctr, Aarhus, Denmark""]";Towards a Solution to the Goose-Agriculture Conflict in North Norway, 1988-2012: The Interplay between Policy, Stakeholder Influence and Goose Population Dynamics;PLOS ONE;8;8;NA;This paper presents results from a multidisciplinary study of a negotiation process between farmers and wildlife authorities which led to an agricultural subsidy scheme to alleviate conflicts between agriculture and geese in Norway. The Svalbard-breeding population of pink-footed geese Anser brachyrhynchus has increased considerably over the last decades and conflicts with farmers have escalated, especially at stopover sites in spring when geese feed on newly sprouted pasture grass. In Vesteralen, an important stopover site for geese in North Norway, farmers deployed scaring of geese at varying intensity dependent on the level of conflict during 1988-2012. We assessed the efficiency of a subsidy scheme established in 2006, in terms of its conflict mitigation, reflected in a near discontinuation of scaring activities. The presence of pink-footed geese was analysed in relation to scaring intensity, the total goose population size and the increasing occurrence of another goose species, the barnacle goose Branta leucopsis. Scaring significantly affected the number of geese staging in Vesteralen, both in absolute and relative terms (controlling for total population size). The geese responded immediately to an increased, and reduced, level of scaring. Despite the establishment of the subsidy scheme, the number of pink-footed geese has recently declined which is probably caused by the increasing number of barnacle geese. For the farmers, the subsidy scheme provides funding that reduces the economic costs caused by the geese. Sustaining a low level of conflict will require close monitoring, dialogue and adaptation of the subsidy scheme to cater for changes in goose population dynamics.;AGRI-ENVIRONMENT SCHEMES and GEESE BRANTA-LEUCOPSIS and PINK-FOOTED GEESE and ANSER-BRACHYRHYNCHUS and BARNACLE GEESE and SNOW GEESE and LAND-USE and HABITAT USE and CONSEQUENCES and CONSERVATION and Norway;10.1371/journal.pone.0071912     WE  - Science Citation Index Expanded (SCI-EXPANDED);1932-6203     J9  - PLOS ONE     JI  - PLoS One;8;"Times Cited in Web of Science Core Collection:  36     Total Times Cited:  40     Cited Reference Count:  58 | RAYYAN-INCLUSION: {""Matthew""=>""Included""}";2013;20;NA;NA;NA;" {""Matthew""=>""Included""}";NA;NA;NA
2024-05-10T14:55:23Z;rayyan-674259303;The Suitability of the Ecosystem Services Framework for Guiding Benefit Assessments in Human-Modified Landscapes Exemplified by Regulated Watersheds-Implications for a Sustainable Approach;Yes;No;Yes;2015;2018;;NA;NA;NA;Norway;Rogaland, Agder, Vestland;NA;Local (e.g. a municipality or a part of a municipality);Rivers & lakes;Observational studies;NA;NA;Action research/participatory study, Interviews, Surveys and questionnaires, Mixed Methods;Social Sciences;Energy production & mining: Hydropower, Biological resource use: hunting, fishing collection;Direct habitat removal, destruction or change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Analytic (e.g. environmental impact assessments, monitoring);National, Regional, Local;Qualitative;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;Tools;Economy-oriented, Governance/management-oriented, Participatory/deliberative/democratic approach;Climate and environment, Petroleum and energy;Other organizations, Citizens;rayyan-674259303;JOUR;English;Nesheim, I and Barkved, L;Norwegian Inst Water Res, Gaustadalleen 21, N-0349 Oslo, Norway;The Suitability of the Ecosystem Services Framework for Guiding Benefit Assessments in Human-Modified Landscapes Exemplified by Regulated Watersheds-Implications for a Sustainable Approach;SUSTAINABILITY;11;6;NA;To support decision-making, benefit assessments have become an obligatory part of natural resource management. In this context, the ecosystem services (ES) framework has been widely adopted for identifying and assessing the values at stake, yet the concept ignores benefits from water and land use functions as important contributions for societal welfare. This paper aims to contribute knowledge for improved benefit assessments in human-modified landscapes, exemplified by watersheds regulated for the production of hydropower. Through a case study approach in two regulated watersheds in Norway, beneficiaries' perceptions of the benefits associated with key watershed activities, i.e., hydropower production, kayaking, angling, and hiking, are presented. Considering the beneficiaries' perspectives, we discuss the relative ability of economic, quantitative, and qualitative assessment methods to present benefits. The study shows that benefit assessments must be carried out on different scales of governance, as benefits are context and scale dependent. We argue for an approach which considers a balance of benefits obtained from ecosystem services, and from water and land use functions within ecological limits. The suitability of the ES framework for guiding benefit assessments in a human-modified landscape and its complementarity with the sustainability concept for informing local-level decision-making are discussed.;ecosystem services and benefit assessments and beneficiaries and regulated watercourses and sustainability dimensions and hydropower and VALUES and VALUATION and SCALE and Humanities and Humanism and Humans;10.3390/su11061821     WE  - Science Citation Index Expanded (SCI-EXPANDED)     WE  - Social Science Citation Index (SSCI);2071-1050     J9  - SUSTAINABILITY-BASEL     JI  - Sustainability;3;Times Cited in Web of Science Core Collection:  4     Total Times Cited:  4     Cited Reference Count:  66;2019;26;NA;NA;NA;NA;NA;NA;NA
