"","study_id","study_title","source","abstract","keywords","doi","url","longitude","latitude","country","ecosystem_type_main","research_type"
"1","rayyan-674258126","Effects of abandonment on plant diversity in semi-natural grasslands along soil and climate gradients","JOURNAL OF VEGETATION SCIENCE","Questions: What are the effects of abandonment on plant diversity in semi-natural grasslands? Do the effects of abandonment on taxonomic and functional diversity vary along environmental gradients of climate and soil? Location: West andmid-Norway. Methods: Plant composition was surveyed in 110 subplots of 4 m(2) in 14 sites across grazed and abandoned semi-natural grasslands. Climate data were extracted and soil composition analysed. To reduce the number of explanatory variables and deal with collinearity, we performed PCA. Data on the plant species vegetative height (H), leaf dry matter content (LDMC), specific leaf area (SLA), seedmass (SM) and number of seeds per plant (SNP) for 175 species were extracted from the LEDA database. Measures of plant diversity (species richness, CWM of functional traits and functional diversity (evenness and range)) were calculated for each subplot. To estimate the effects of abandonment on plant diversity and examine how these effects are moderated by gradients in soil and climate, we fitted mixed models to the data including site as a random effect. Results: Species richness in the subplots was lower in abandoned semi-natural grasslands, especially on more calcareous soils. CWM H, LDMC and SM were higher in abandoned semi-natural grasslands. CWM LDMC was only higher in the driest subplots. The ranges in H, SLA and SM, as well as evenness in LDMC were also higher in abandoned semi-natural grasslands, but the range in LDMC was lower. Conclusions: It is important to assess both taxonomic and functional diversity to understand ecosystem processes. The species pool in ecosystems influenced by a long history of intermediate grazing includes a high proportion of low stature, grazing-tolerant plant species. Abandonment of extensive land-use practices will cause a decline in taxonomic diversity (plant species richness) in such systems due to increased abundance of plants with high stature that outcompete the lower, grazing-tolerant plants. This process is predominant especially if moisture, soil fertility and pH are at intermediate levels. Changes in species communities due to abandonment will also influence ecosystem functioning, such as nutrient turnover and fodder production resilience.","abandonment and boreal and climate and functional diversity and functional traits and plant diversity and plant species richness and semi-natural grasslands and soil and taxonomic diversity and FUNCTIONAL DIVERSITY and SPECIES RICHNESS and TRAIT RESPONSES and VEGETATION and IMPACT and PRODUCTIVITY and ECOSYSTEMS and STRATEGIES and MANAGEMENT and FRAMEWORK","10.1111/jvs.12543     WE  - Science Citation Index Expanded (SCI-EXPANDED)","https://doi.org/10.1111/jvs.12543",10.421906,63.446827,"Norway","Semi-natural ecosystems","Observational studies"
"2","rayyan-674265247","A comparison of influences of cattle, goat, sheep and reindeer on vegetation changes in mountain cultural landscapes in Norway","LANDSCAPE AND URBAN PLANNING","Earlier land use in European mountains included grazing by different kinds of livestock, while today it may be more homogenous, and the grazing may have either been intensified or been abandoned. Different domestic animal species graze in different areas of the landscape. Therefore, grazing stocks composed of different species have an unequal effect on the landscape. This study compares the influence of four domestic animal species (cattle, sheep, goats, reindeer) on landscape dynamics in Jotunheimen, a Norwegian mountain range. Interviews and maps showing grazing land of domestic animals were performed to collect information about land use in the summer farm surroundings. Grazing pressure maps (prior to 1960 and 1960-2002) using the land use information obtained, and vegetation maps (from the 1960s and 2002) using aerial photographs, were digitized. Vegetation was spatially linked with grazing pressure using GIS and multiple multinomial and linear regressions were used to investigate each species' effect on vegetation type change and displacement of the forest line, respectively. The results show that cattle grazing influenced transitions from grasslands, cattle together with goats affected transitions from heaths, and cattle, goats, and reindeer influenced displacement of the birch forest line. High grazing pressure from these three domestic animals suppressed forest and scrub establishment in open habitats. Only goats, however, caused transitions from scrub and birch forest to open vegetation types. (C) 2011 Elsevier B.V. All rights reserved.","Crazing pressure and Landscape change and Forest line and Multinomial regression and Linear regression and LAND-USE and CLIMATE-CHANGE and FORAGE INTAKE and BREED and RUMINANTS and PASTURES and TREELINE and FOREST and DIETS and CONSEQUENCES and Mountaineering and Goats and Cattle and Norway and Sheep and Vegetables","10.1016/j.landurbplan.2011.04.003     WE  - Science Citation Index Expanded (SCI-EXPANDED)     WE  - Social Science Citation Index (SSCI)","https://doi.org/10.1016/j.landurbplan.2011.04.003",10.421906,63.446827,"Norway","Mountains","Observational studies"
"3","rayyan-674230316","A Grazer in a Browser's Habitat: Resource Selection of Foraging Cattle in Productive Boreal Forest","Rangeland Ecology and Management","In Norway, cattle (Bos taurus) are released to large areas of boreal forest for summer grazing. To determine to what degree this practice challenges timber production and wildlife management, we need a better understanding of basic cattle ecology. What do cattle, typical grazers, feed on in a habitat typically used by browsers? We determined cattle's resource use and selection at three scales: habitat and microhabitat selection when foraging and diet selection. Boreal forest is dominated by grass-poor habitats, and despite their strong selection for grass-rich habitats, cows spent a lot of time in suboptimal habitats, like old bilberry (Vaccinium myrtillus) spruce (Picea abies) forest. However, they managed to find grass-rich habitat patches within those, selecting for patches with bentgrass (Agrostis spp.). Graminoids, mainly wavy hair-grass (Avenella spp.), tussock grass (Deschampsia), and true sedges (Carex spp.), made up the biggest part of the fecal samples. Woody plants, mainly willow (Salix spp.), Vaccinium spp., pine (Pinus spp.), and birch (Betula spp.), made up 9.4% ± 4.7% of the samples, a value lower than reported for other forest grazing cattle. Cattle avoided woody plants in their diet and selected for graminoids. They preferred deciduous over coniferous species. At these low stocking densities, the cows were grazers in this browser's habitat. Moreover, they selected rather on habitat and patch scale than for individual plants within a given habitat patch, considered typical for a grazer. Their grass-rich diet indicates little overlap with the diet of local wild ungulates, which are mostly browsers. Their aversion of spruce and selection for graminoids and deciduous trees indicates low conflict risk for browsing damages and even a beneficial weeding effect on trees planted for timber production. © 2023 The Author(s)","Beef cattle and Feeding ecology and Picea abies and Resource selection and Silvopastoralism and Norway and boreal forest and browsing and cattle and diet and feeding ecology and grazing and habitat selection and pastoralism and pasture and pine and resource use and Cattle and Trees","10.1016/j.rama.2023.12.004","https://doi.org/10.1016/j.rama.2023.12.004",10.421906,63.446827,"Norway","Forest","Observational studies"
"4","rayyan-674233958","A nature-based solution to a landfill-leachate contamination of a confined aquifer","Scientific Reports","Remediation of groundwater from landfill contamination presents a serious challenge due to the complex mixture of contaminants discharged from landfills. Here, we show the significance of a nature-based solution to a landfill-contaminated aquifer in southeast Norway. Groundwater physicochemical parameters monitored for twenty-eight years were used as a proxy to infer natural remediation. Results show that concentrations of the major chemical variables decreased with time and distance until they tailed off. An exception to this was sulphate, which showed an increase, but apparently, exhibits a stationary phase. The water types were found to be most similar between samples from active landfill and post-closure stages, while samples from the stabilised stage showed a different water type. All the chemical parameters of samples from the stabilised stage were found to be within the Norwegian drinking water standards, except iron and manganese, which were only marginally above the limits, an indication of a possible recovery of this aquifer. The findings highlight the significance of natural attenuation processes in remediating contaminated aquifers and have significant consequences for future contamination management, where natural remediation can be viewed as an alternative worth exploring. This is promising in the wake of calls for sustainable remediation management strategies. © 2021, The Author(s).",NA,"10.1038/s41598-021-94041-7","https://doi.org/10.1038/s41598-021-94041-7",10.421906,63.446827,"Norway","Rivers & lakes","Observational studies"
"5","rayyan-656138533","Movements of tagged and radio-instrumented wild reindeer in relation to habitat alteration in the Snøhetta region, Norway","Rangifer","In winter, 1981, 103 reindeer, out of a population of 3600, were herded into a fence by snowmobiles and marked. During the next 4 1/2 years reindeer were followed from the ground, or by radiolocations from an airplane. On the average one animal was tagged per 42 animals in any group. A total sample of 175 locations in all seasons indicated that snow conditions, traffic on a road lying parallel to a railroad, and the damming of a lake significantly affected annual distribution as compared with expected modern as well as prehistoric distribution.","Norway","10.7557/2.6.2.658","https://doi.org/10.7557/2.6.2.658",10.421906,63.446827,"Norway","Mountains","Observational studies"
"6","rayyan-656137719","The effects of human disturbance on the activity of wild reindeer in different physical condition","Rangifer","We compared two Norwegian wild reindeer herds, Knutsho in excellent physical condition and Hardangervidda in poor physical condition, before and during disturbance by human hunters in order to test whether physical condition effected foraging strategy under stress. Both herds were being regularly hunted (man had been a natural predator on reindeer since prehistoric time). The well-fed Knutsho animals were ca. 30% larger at the start of the hunting season in late August. Before exposure they foraged less and walked more, i.e. were more selective than the Hardangervidda animals which were in energetically lower condition and foraged significantly more and spent less time moving between habitat patches and less time standing. After exposure to hunters disturbed Knutsho animals aggregated into significantly larger groups than before hunting and stood alert more, while Hardangervidda animals spent the same minimum amount of time foraging but moved significantly more and spent almost no time standing. The frequency of disturbance was not significantly different between the two herds and their speeds of movement after disturbances were similar. The hunter kill success rate was also similar in the two areas. The energetic costs, measured as relative body weight loss during the hunting season, was higher for the initially less well-fed Hardangervidda animals, and higher for both herds compared to that from a less disturbed herd (Forelhogna). We hypothezise that while standing still and alert in aggregated groups is risky, it is still more risky to move, but potentially more rewarding if a better habitat could be found. More well-fed Knutsho animals, which aggregated and stood still, conserved allready stored energy, compatible with a time minimizer risk aversive strategy. The Hardangervidda animals which were in poorer condition increased travelling time to an extent that suggested a risky nutrient miximizer strategy in the phase of stress. Effekter av menneskelige forstyrrelser pa aktiviteten til villrein i forskjellig fysisk kondisjon. Abstract in Norwegian / Sammendrag: For a teste om fysisk kondisjon innvirket pa beitestrategien, sammenlignet vi to norske vill-reinflokker, Knutsho i utmerket fysisk kondisjon og Hardangervidda i darlig fysisk kondisjon for og etter forstyrrelser av jegere. Begge flokker er regelmessig jaktet pa (menneske har vaert naturlig predator pa rein siden forhistorisk tid). De velnaerte rein pa Knutsho var 30% tyngre enn sine artsfeller pa Hardangervidda ved starten av jaktsesongen sent i august. For jakten beitet de mindre og gikk mer, d.v.s. var mer selektive enn Hardangerviddareinen. Disse var energetisk sett i en darligere forfatning, beitet mer og brukte mindre tid bade til a ga mellom beiteomradene og til a sta. Etter a ha blitt utsatt for forstyrrelser av jegere, samlet Knutshoreinen seg til storre grupper enn for jakten og sto mer vaktsomme. Hardangerviddareinen derimot, brukte den samme minimumstid til beiting, men gikk signifikant mer enn for jakten. Den brukte heller nesten ingen tid til a sta i ro. Hyppigheten av forstyrrelser var ikke signifikant forskjellig mellom de to grupper og deres bevegelses-hastighet etter forstyrrelse var den samme. Jegernes jaktsuksess i form av fellinger var ogsa den samme i de to omrader. Energiutgiftene, malt som relativt tap av kroppsvekt gjennom jaktsesongen, var hoyere for Hardangerviddareinen med darligere ernaeringsstatus i startfasen. For begge flokker var energiutgiftene hoyere sammenlignet med en mindre forstyrret reinflokk (Forelhogna). Vi tror at, selv om det a sta stille og vaktsomt i samlet flokk er risikofylt, sa er det enda mer risikofylt a bevege seg, noe som dog kan vaere mer lonnsomt, om de finner et bedre beiteomrade. Mer velfodd Knutshorein, som samlet seg og sto i ro, bevarte mer av sin allerede opplagrede naeringsenergi, noe som minimaliserer tidsforbruk til naeringssok og som er en risikoavvergende strategi. Hardangerviddarein, som var i darligere hold, okte tiden for beitesok i en grad som antyder en mer risikofylt strategi under stresspavirk-ning for a maksimalisere beiteopptak. Ihmisen aiheuttaman hairinnan vaikutus eri kuntoisten villi¬peurojen aktiivisuuteen. Abstract in Finnish / Yhteenveto: Vertasimme kahta norjalaista villipeuralaumaa, Knutshoen erittain hyvakuntoista ja Hardanger-viddan huonokuntoista laumaa. Ennen ja jalkeen metsastajien hairinnan testasimme vaikuttaako kunto peu-rojen ravinnon kayttoon stressin aikana. Molempia laumoja on metsastetty saannollisesti (ihminen on olut peurojen luontainen vihollin je esihistoriaaalisista ajoista alkaen). Hyvakuntoisessa Knutshoen laumassa peurat olivat noin 30% suurempia metsastyskauden alkaessa elokuun lopulla. Ennen harinitaa ne laidunsi-vat vahan, vaelsivat enemman ja olivat valikoivampi kuin Hardangerviddan peurat, jotka olivat energeetti-sesti heikommassa kunnossa ja laidunsivat merkitsevasti enemman ja kuluttivat vahemman aikaa liikkumi-seen eri laidunalueiden valilla ja my os seisomiseen. Metsastyksen alettua Knutshoen peurat kokoontiuvat suurempiin ryhmiin kuin aikaisemmin ja sesoskeli-vat pelokkaina eneman. Hardangerviddan peurat kayttivat puolestaan vahan aikaa ruokailuun mutta liikkui-vat merkitsevasti enemman eivatka kayttaneet juuri aikaa seisomiseen. Hairiotilanteiden maariss a eri laumojen valilla ei ollut tilastollista merkitsevyytta ja niiden liikkumisno-peudet hairoiden jalkeen olivat samanlaiset. Metsastajien saaliit oliva samanlaiset nailla kahdella alueella. Energian kulutus mitattuna suhteellisena painon menetysena metsastysaikana oli suurempi jo lahtovaiheessa heikompikuntoisimmilla Hardangerviddan peuroilla, ja se oli my os suurempi molemmilla laumoilla kuin vahemman hairitylla laumalla (Forelhogna). Me oletamme, etta sesominen ja hairinta isoissa laumoissa on riskitekija. Viela suurempi riski on liik-kua, mutta potentiaalisesti se on parempi, jos hyvia laidunalueita lovtyy. Hyvakuntoiset Knutshoen peurat, jotka kokoontuivat ja sesoivat hiljaa, saastivat jo koottuja energiavarastoja. Hardangerviddan peurat, jotka olivat huonommassa kunnossa, lisasivat suuresti vaellusta. Stressin aikana on hy vin mahdollista, etta peurat ei vat voi maksimoida ravinnon kayton strategiaa.","Humanities and Humanism and Humans","10.7557/2.8.1.726","https://doi.org/10.7557/2.8.1.726",10.421906,63.446827,"Norway","Mountains","Observational studies"
"7","rayyan-674265528","Effects of Logging on Capercaillie (Tetrao urogallus) Leks III. Extinction and Recolonization of Lek Populations in Relation to Clearfelling and Fragmentation of Old Forest","SCANDINAVIAN JOURNAL OF FOREST RESEARCH","In a 136 km(2) coniferous area in southeastern Norway, 13 of 24 past leks, known from the 1930-40S, went extinct and 5 new leks were established, by 1985. There was no difference in extinction rate between clearfelled (7 of 13) and untreated (6 of 11) leks. Number of leks, number of cocks per lek, and total number of cocks were reduced by 33, 53, and 69%, respectively, compared with a 69% reduction in suitable habitat (forest. older than 70 years). We argue that the overall population decline merely was due to a general fragmentation of suitable habitats, rather than direct clearfelling of lek areas.","Tetrao urogallus and lek and demography and extinction and recolonization and logging and habitat fragmentation","10.1080/02827588909382552     WE  - Science Citation Index Expanded (SCI-EXPANDED)","https://doi.org/10.1080/02827588909382552",10.421906,63.446827,"Norway","Forest","Observational studies"
"8","rayyan-656137933","Production of juvenile Atlantic salmon, Salmo salar L., and brown trout, Salmo trutta L., within different sections of a small enriched Norwegian river","Journal of Fish Biology","Growth, density and production of juvenile Atlantic salmon and brown trout were studied in three different sections of the Kvassheimsana River in south-western Norway from 1979 to 1983. Section 1. in the upper part of the river, is located above a waterfall impassable for migratory salmonids and is surrounded by grazing land. Sections 2 and 3, in the middle and lower parts of the river, are influenced by agricultural activity. Total nitrogen concentration varied between 250 and 1000 μg l −1 in section 1 and 1500 and 2500 μg l−1 in sections 2 and 3. Total phosphorus (Tot-P) concentrations also increased with decreasing altitude: 19–46 μg l−1 in section I and 31–101 μg l −1 in sections 2 and 3. The number of 0 + salmon in sections 2 and 3 varied between 30.1 and 167.8 specimens 100 m −2, with means 90.2 and 95.2 specimens 100 m −2:, respectively; the density of 1 + salmon, with mean values of 16.3 and 51.0 specimens 100m−2 was significantly correlated with the original fry density. The growth rate of 0+ salmon was not inversely related to cohort density, but was significantly so for 1 + salmon. Mean annual salmon production in section 2 was 1595 g 100 m−2 year 1, and in section 3 was 841 g 100m−2 year 1. A logarithmic function gave the best curve fit between salmon production and mean annual biomass. Thus, production levelled off for the highest values recorded in section 2, and perhaps approached the carrying capacity of the stream. A multiple regression analysis showed that yearly variation in 1 + salmon density was the single factor accounting for most of the total variability in production (60%). Variation in water temperature and nutrient content were not significantly related to variation in fish production. Densities of brown trout were low in all sections (<20 specimens 100m −2). Fry density was highest in section 3 and parr density in section 1. All age groups of sympatric brown trout grew significantly faster in sections 2 and 3 compared with allopatric brown trout in section 1.","Cesarean Section","10.1111/j.1095-8649.1990.tb03556.x","https://doi.org/10.1111/j.1095-8649.1990.tb03556.x",10.421906,63.446827,"Norway","Rivers & lakes","Observational studies"
"9","rayyan-674267652","HABITAT SELECTION AND DIET OF GREAT SNIPE GALLINAGO-MEDIA DURING BREEDING","IBIS","The Great Snipe Gallinago media is considered to be an endangered species. This paper examines its food and habitat use on a sub-alpine/low-alpine breeding area in central Norway. It was estimated that earthworms constitute more than 90% of Great Snipe food (by weight). Feeding birds selected the low herb willow scrub vegetation community and to a lesser degree eutrophic fen. Birds did not selectively feed on eutrophic dwarf birch/juniper heath despite it being the third most used vegetation community by virtue of its extent. Although soil penetrability, vegetation cover and earthworm density varied across vegetation communities, Great Snipe selected sites with similar habitat characteristics in different vegetation communities. Great Snipe seemed to select for an optimal combination of soil penetrability and earthworm density, and for medium scrub cover. Nests were found in a broad range of vegetation communities, but only low herb willow scrub was selectively used. However, an equal number of nests was found in eutrophic fen due to its larger extent. Dense vegetation cover around nests and short flushing distance of incubating females indicate low sensitivity to disturbance. We consider the Great Snipe to be a food and habitat specialist, requiring habitats rich in sub-surface invertebrates to breed. This may explain its scattered distribution in Scandinavia, and may render it vulnerable to habitat modification and loss.","PLUVIALIS-APRICARIA and PREDATION-RISK and TRADE-OFF and EFFICIENCY and WOODCOCK and BEHAVIOR and Breeding and Ecosystem","10.1111/j.1474-919X.1992.tb07227.x     WE  - Science Citation Index Expanded (SCI-EXPANDED)","https://doi.org/10.1111/j.1474-919X.1992.tb07227.x",10.421906,63.446827,"Norway","Wetlands/peatlands, Mountains","Observational studies"
"10","rayyan-674230332","Mass development of aquatic plants: Effects of contrasting management scenarios on a suite of ecosystem services","Journal of Applied Ecology","Dense beds of aquatic plants are often perceived as nuisance and therefore mechanically removed, often at substantial cost. Such removal, however, may affect a range of ecosystem functions and consequently also the ecosystem services that benefit society. We studied five cases: River Otra (Norway), River Spree (Germany), Lake Kemnade (Germany), Lake Grand-Lieu (France) and Hartbeespoort Dam (South Africa). In all, nuisance aquatic plant growth is managed, but dominant species, geographic setting and major societal uses are different. We quantified 12 final ecosystem services as flows per area and year in biophysical and monetary terms. Quantified services were food and fodder production, commercial fisheries, hunting and gathering wild products, hydropower production, drinking and irrigation water production, flood prevention, carbon sequestration, active and passive recreation and biodiversity conservation (nonuse). These services were related to aquatic plant cover via a range of ecosystem functions, and the effects were estimated of three plant removal regimes on the relative importance of the quantified ecosystem services and on the total sum of the monetary estimates (total economic value, TEV). The three removal regimes were ‘maximum removal’, ‘current practice’ and ‘do nothing’. In all five cases, TEV was dominated by different forms of recreation. TEV was highest for Lake Kemnade, where visitor densities were highest. TEV was most sensitive to the different management regimes in Lake Kemnade, because a threshold in aesthetic appreciation was passed in the ‘do-nothing’ regime, and in Hartbeespoort Dam, because of the effect on boating and angling. In the other cases, the different removal regimes had little effect on the estimated TEV. Synthesis and applications. Since recreation dominated the estimated societal benefits in the studied ecosystems, also where provision of hydropower, drinking water or irrigation water were relevant, effects on recreation should be a core consideration in the management of nuisance aquatic plants. Furthermore, aquatic plant management strategies will benefit from taking into account the differences in perceived nuisance among different categories of recreative users before engaging in costly removal. © 2023 The Authors. Journal of Applied Ecology published by John Wiley & Sons Ltd on behalf of British Ecological Society.","aquatic macrophytes and ecosystem functions and integrated weed management and introduced invasive plants and keystone species and mass development and Germany and Hartbeespoort Dam and North West Province and Norway and Otra River and South Africa and Spree River and aquatic plant and biodiversity and drinking water and ecosystem function and integrated pest management and invasive species and irrigation system and macrophyte and weed control","10.1111/1365-2664.14539","https://doi.org/10.1111/1365-2664.14539",10.421906,63.446827,"Norway","Rivers & lakes","Observational studies"
